date,number_of_lines,author,revision
"2015-08-07 13:29:04 +0100 (Fri, 07 Aug 2015)",line,Jimmy,r1502425
"2015-08-06 16:44:44 +0100 (Thu, 06 Aug 2015)",line,Thomas,r1502023
"2015-08-06 10:00:39 +0100 (Thu, 06 Aug 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1501699
"2015-08-05 15:58:41 +0100 (Wed, 05 Aug 2015)",line,Thomas,r1501400
"2015-08-05 14:43:58 +0100 (Wed, 05 Aug 2015)",line,Thomas,r1501345
"2015-08-05 14:30:09 +0100 (Wed, 05 Aug 2015)",line,Jimmy,r1501337
"2015-08-05 14:16:44 +0100 (Wed, 05 Aug 2015)",line,Jimmy,r1501323
"2015-08-05 10:36:03 +0100 (Wed, 05 Aug 2015)",line,Thomas,r1501134
"2015-08-04 16:34:43 +0100 (Tue, 04 Aug 2015)",line,Thomas,r1500801
"2015-08-04 16:00:51 +0100 (Tue, 04 Aug 2015)",line,Thomas,r1500768
"2015-08-04 14:47:30 +0100 (Tue, 04 Aug 2015)",line,Thomas,r1500697
"2015-08-04 14:31:44 +0100 (Tue, 04 Aug 2015)",line,Thomas,r1500688
"2015-08-04 14:27:27 +0100 (Tue, 04 Aug 2015)",line,Jimmy,r1500683
"2015-08-04 14:16:37 +0100 (Tue, 04 Aug 2015)",line,Jimmy,r1500676
"2015-08-04 14:11:09 +0100 (Tue, 04 Aug 2015)",line,Jimmy,r1500671
"2015-08-04 14:04:57 +0100 (Tue, 04 Aug 2015)",line,Thomas,r1500665
"2015-08-04 14:04:25 +0100 (Tue, 04 Aug 2015)",line,Jimmy,r1500664
"2015-08-04 13:54:05 +0100 (Tue, 04 Aug 2015)",line,Jimmy,r1500656
"2015-08-04 13:49:54 +0100 (Tue, 04 Aug 2015)",line,Thomas,r1500654
"2015-08-04 13:17:59 +0100 (Tue, 04 Aug 2015)",line,Jimmy,r1500629
"2015-08-04 13:09:04 +0100 (Tue, 04 Aug 2015)",line,Jimmy,r1500628
"2015-08-04 12:06:10 +0100 (Tue, 04 Aug 2015)",line,Thomas,r1500605
"2015-08-04 11:38:01 +0100 (Tue, 04 Aug 2015)",line,Thomas,r1500577
"2015-08-04 11:32:33 +0100 (Tue, 04 Aug 2015)",line,Thomas,r1500567
"2015-08-04 11:20:26 +0100 (Tue, 04 Aug 2015)",line,Jimmy,r1500550
"2015-08-04 11:11:54 +0100 (Tue, 04 Aug 2015)",line,Thomas,r1500540
"2015-08-04 11:04:57 +0100 (Tue, 04 Aug 2015)",line,Thomas,r1500536
"2015-07-31 14:45:12 +0100 (Fri, 31 Jul 2015)",line,Thomas,r1499589
"2015-07-31 14:38:41 +0100 (Fri, 31 Jul 2015)",line,Thomas,r1499580
"2015-07-31 14:02:01 +0100 (Fri, 31 Jul 2015)",line,Thomas,r1499551
"2015-07-31 13:53:01 +0100 (Fri, 31 Jul 2015)",line,Thomas,r1499540
"2015-07-31 13:13:05 +0100 (Fri, 31 Jul 2015)",line,Thomas,r1499498
"2015-07-31 11:25:54 +0100 (Fri, 31 Jul 2015)",line,Thomas,r1499392
"2015-07-30 15:31:45 +0100 (Thu, 30 Jul 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1499015
"2015-07-30 15:01:09 +0100 (Thu, 30 Jul 2015)",line,Thomas,r1498989
"2015-07-30 14:50:17 +0100 (Thu, 30 Jul 2015)",line,Thomas,r1498978
"2015-07-30 14:49:48 +0100 (Thu, 30 Jul 2015)",line,Thomas,r1498977
"2015-07-30 14:39:58 +0100 (Thu, 30 Jul 2015)",line,Thomas,r1498965
"2015-07-30 14:33:20 +0100 (Thu, 30 Jul 2015)",line,Thomas,r1498952
"2015-07-30 14:09:42 +0100 (Thu, 30 Jul 2015)",lines,Thomas,r1498934
"2015-07-30 10:43:33 +0100 (Thu, 30 Jul 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1498787
"2015-07-30 09:58:03 +0100 (Thu, 30 Jul 2015)",line,Thomas,r1498744
"2015-07-30 09:05:21 +0100 (Thu, 30 Jul 2015)",line,Thomas,r1498709
"2015-07-29 14:46:30 +0100 (Wed, 29 Jul 2015)",line,Thomas,r1498319
"2015-07-29 14:20:59 +0100 (Wed, 29 Jul 2015)",line,Thomas,r1498300
"2015-07-29 10:06:55 +0100 (Wed, 29 Jul 2015)",line,Thomas,r1498083
"2015-07-28 10:22:46 +0100 (Tue, 28 Jul 2015)",line,Thomas,r1497536
"2015-07-28 08:38:12 +0100 (Tue, 28 Jul 2015)",line,Thomas,r1497472
"2015-07-27 13:01:18 +0100 (Mon, 27 Jul 2015)",lines,Nicky,r1497063
"2015-07-27 10:10:44 +0100 (Mon, 27 Jul 2015)",line,Thomas,r1496931
"2015-07-27 09:26:01 +0100 (Mon, 27 Jul 2015)",line,Thomas,r1496908
"2015-07-24 16:13:21 +0100 (Fri, 24 Jul 2015)",line,Thomas,r1496519
"2015-07-24 16:00:58 +0100 (Fri, 24 Jul 2015)",line,Thomas,r1496513
"2015-07-24 14:43:57 +0100 (Fri, 24 Jul 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1496435
"2015-07-24 11:49:13 +0100 (Fri, 24 Jul 2015)",line,Thomas,r1496285
"2015-07-24 11:27:05 +0100 (Fri, 24 Jul 2015)",line,Thomas,r1496265
"2015-07-24 10:45:10 +0100 (Fri, 24 Jul 2015)",line,Thomas,r1496231
"2015-07-24 09:43:16 +0100 (Fri, 24 Jul 2015)",line,Thomas,r1496204
"2015-07-24 09:37:34 +0100 (Fri, 24 Jul 2015)",line,Thomas,r1496201
"2015-07-24 09:30:51 +0100 (Fri, 24 Jul 2015)",lines,Thomas,r1496198
"2015-07-23 16:09:42 +0100 (Thu, 23 Jul 2015)",line,Thomas,r1495947
"2015-07-23 15:00:50 +0100 (Thu, 23 Jul 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1495875
"2015-07-23 14:32:43 +0100 (Thu, 23 Jul 2015)",line,Thomas,r1495841
"2015-07-23 14:21:42 +0100 (Thu, 23 Jul 2015)",line,Thomas,r1495830
"2015-07-23 14:14:21 +0100 (Thu, 23 Jul 2015)",line,Thomas,r1495815
"2015-07-23 09:37:01 +0100 (Thu, 23 Jul 2015)",line,Dave,r1495607
"2015-07-23 09:24:09 +0100 (Thu, 23 Jul 2015)",line,Thomas,r1495598
"2015-07-23 09:12:29 +0100 (Thu, 23 Jul 2015)",line,Thomas,r1495589
"2015-07-23 08:48:05 +0100 (Thu, 23 Jul 2015)",line,Thomas,r1495583
"2015-07-23 08:44:05 +0100 (Thu, 23 Jul 2015)",line,Thomas,r1495579
"2015-07-22 16:15:58 +0100 (Wed, 22 Jul 2015)",line,Thomas,r1495354
"2015-07-22 14:04:49 +0100 (Wed, 22 Jul 2015)",lines,Nicky,r1495232
"2015-07-21 14:29:13 +0100 (Tue, 21 Jul 2015)",line,Thomas,r1494629
"2015-07-21 13:09:10 +0100 (Tue, 21 Jul 2015)",line,Jimmy,r1494572
"2015-07-21 12:57:12 +0100 (Tue, 21 Jul 2015)",line,Jimmy,r1494569
"2015-07-21 11:54:34 +0100 (Tue, 21 Jul 2015)",line,Jimmy,r1494523
"2015-07-21 11:45:38 +0100 (Tue, 21 Jul 2015)",line,Jimmy,r1494517
"2015-07-21 11:20:23 +0100 (Tue, 21 Jul 2015)",line,Jimmy,r1494495
"2015-07-20 12:08:48 +0100 (Mon, 20 Jul 2015)",line,Jimmy,r1494003
"2015-07-17 13:54:22 +0100 (Fri, 17 Jul 2015)",line,Jimmy,r1493570
"2015-07-17 13:49:52 +0100 (Fri, 17 Jul 2015)",line,Jimmy,r1493569
"2015-07-17 13:28:41 +0100 (Fri, 17 Jul 2015)",line,Jimmy,r1493563
"2015-07-17 13:27:38 +0100 (Fri, 17 Jul 2015)",line,Jimmy,r1493562
"2015-07-17 11:58:34 +0100 (Fri, 17 Jul 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1493503
"2015-07-17 10:14:16 +0100 (Fri, 17 Jul 2015)",line,Jimmy,r1493417
"2015-07-17 08:39:34 +0100 (Fri, 17 Jul 2015)",line,Thomas,r1493381
"2015-07-16 19:32:25 +0100 (Thu, 16 Jul 2015)",lines,Nicky,r1493269
"2015-07-16 16:48:08 +0100 (Thu, 16 Jul 2015)",line,Thomas,r1493202
"2015-07-16 14:47:09 +0100 (Thu, 16 Jul 2015)",line,Jimmy,r1493081
"2015-07-16 14:37:37 +0100 (Thu, 16 Jul 2015)",lines,Alan,r1493067
"2015-07-16 14:02:49 +0100 (Thu, 16 Jul 2015)",line,Jimmy,r1493044
"2015-07-16 13:51:17 +0100 (Thu, 16 Jul 2015)",line,Jimmy,r1493036
"2015-07-16 13:41:50 +0100 (Thu, 16 Jul 2015)",line,Jimmy,r1493028
"2015-07-16 11:51:46 +0100 (Thu, 16 Jul 2015)",lines,Alan,r1492956
"2015-07-16 11:48:20 +0100 (Thu, 16 Jul 2015)",lines,Alan,r1492955
"2015-07-15 15:46:38 +0100 (Wed, 15 Jul 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1492513
"2015-07-15 15:25:12 +0100 (Wed, 15 Jul 2015)",line,Alan,r1492481
"2015-07-15 15:08:50 +0100 (Wed, 15 Jul 2015)",line,Jimmy,r1492470
"2015-07-15 15:02:58 +0100 (Wed, 15 Jul 2015)",line,Jimmy,r1492457
"2015-07-15 15:00:04 +0100 (Wed, 15 Jul 2015)",line,Jimmy,r1492455
"2015-07-15 14:04:56 +0100 (Wed, 15 Jul 2015)",line,Jimmy,r1492414
"2015-07-15 13:55:46 +0100 (Wed, 15 Jul 2015)",line,Jimmy,r1492409
"2015-07-15 13:49:47 +0100 (Wed, 15 Jul 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1492405
"2015-07-15 13:48:45 +0100 (Wed, 15 Jul 2015)",line,Jimmy,r1492402
"2015-07-15 13:42:17 +0100 (Wed, 15 Jul 2015)",line,Jimmy,r1492399
"2015-07-15 13:30:01 +0100 (Wed, 15 Jul 2015)",line,Jimmy,r1492395
"2015-07-15 11:55:03 +0100 (Wed, 15 Jul 2015)",line,Jimmy,r1492330
"2015-07-15 11:33:28 +0100 (Wed, 15 Jul 2015)",line,Jimmy,r1492308
"2015-07-14 14:56:43 +0100 (Tue, 14 Jul 2015)",line,Jimmy,r1491912
"2015-07-14 14:40:44 +0100 (Tue, 14 Jul 2015)",line,Jimmy,r1491892
"2015-07-14 14:18:59 +0100 (Tue, 14 Jul 2015)",line,Jimmy,r1491875
"2015-07-14 14:06:22 +0100 (Tue, 14 Jul 2015)",line,Jimmy,r1491866
"2015-07-14 13:49:51 +0100 (Tue, 14 Jul 2015)",line,Jimmy,r1491858
"2015-07-14 13:42:45 +0100 (Tue, 14 Jul 2015)",line,Jimmy,r1491856
"2015-07-14 12:25:40 +0100 (Tue, 14 Jul 2015)",line,Jimmy,r1491802
"2015-07-13 16:29:13 +0100 (Mon, 13 Jul 2015)",line,Thomas,r1491445
"2015-07-13 16:22:25 +0100 (Mon, 13 Jul 2015)",line,Thomas,r1491442
"2015-07-13 16:17:26 +0100 (Mon, 13 Jul 2015)",line,Thomas,r1491435
"2015-07-13 16:12:14 +0100 (Mon, 13 Jul 2015)",line,Thomas,r1491428
"2015-07-13 16:08:55 +0100 (Mon, 13 Jul 2015)",line,Thomas,r1491425
"2015-07-13 16:03:32 +0100 (Mon, 13 Jul 2015)",line,Thomas,r1491421
"2015-07-13 16:00:35 +0100 (Mon, 13 Jul 2015)",line,Thomas,r1491420
"2015-07-13 13:59:14 +0100 (Mon, 13 Jul 2015)",line,Jimmy,r1491333
"2015-07-13 13:48:50 +0100 (Mon, 13 Jul 2015)",line,Jimmy,r1491323
"2015-07-13 13:06:21 +0100 (Mon, 13 Jul 2015)",line,Jimmy,r1491315
"2015-07-13 11:52:09 +0100 (Mon, 13 Jul 2015)",line,Thomas,r1491272
"2015-07-13 11:32:02 +0100 (Mon, 13 Jul 2015)",line,Alan,r1491254
"2015-07-13 11:03:48 +0100 (Mon, 13 Jul 2015)",line,Jimmy,r1491229
"2015-07-13 09:21:48 +0100 (Mon, 13 Jul 2015)",line,Thomas,r1491146
